"idx","trade_diff","fxres_diff","exrate_diff"
"75",-10171.3619102713,-4495.25154629629,0.517635648148143
"76",70062.6500537194,116163.138268519,-1.66978611111111
"77",-26344.9313876338,51940.795046296,1.6641125
"78",2211.15670087558,137312.293372222,0.264172407407415
"79",5919.33768284752,41569.2328124996,-1.62726833333335
"80",-90267.1451688106,102817.881222686,0.765998240740743
"81",48462.3168946125,53390.7386111114,0.546768518518519
"82",-30894.6852671713,45626.9986111103,0.456677314814812
"83",-3155.77335014488,-14288.619814815,-0.319400925925919
"84",16597.9870625203,-57527.1250370368,0.633210185185177
"85",-22209.0002023801,4645.38101388887,0.245911574074086
"86",-2085.52409716349,98471.3074398153,0.824368981481484
"87",5757.17847492875,-205732.371546297,0.616235648148134
"88",-27157.7560631806,-9235.76173148025,1.0722138888889
"89",-4859.29282623378,50624.2350462954,1.11761249999999
"90",-19325.8294794245,-26013.5066277776,0.450572407407421
"91",18238.5532607475,-110319.437187499,0.15563166666665
"92",-38556.4577210105,-106766.018777316,1.49729824074075
"93",25201.6503793125,-6518.77138888836,0.714768518518525
"94",29201.2379012287,-19248.8113888893,-0.499922685185197
"95",-12845.8476108449,173948.960185185,1.65579907407408
"96",38225.9410377204,99420.2649629638,-1.07918981481482
"97",-8069.16095928015,49857.7310138885,0.668011574074086
"98",-20673.0715285634,-91459.4425601857,0.0407689814814773
"99",42045.6148836287,192462.068453704,-0.479764351851856
"100",-63008.8582982806,87415.938268519,0.771613888888893
"101",24112.3730839662,-10182.914953704,-0.794887500000002
"102",12543.3754818756,31343.3933722218,0.42797240740741
"103",-29187.4979650525,39435.4528125003,0.0365316666666615
"104",20217.9510666894,-6580.4387773145,0.0440982407407517
"105",-69210.2307303875,-65392.3113888884,0.0847685185185156
"106",68798.6939524287,50049.2286111098,0.377277314814805
"107",18744.3895523551,91916.9801851856,0.365199074074084
"108",5548.93702842039,119193.364962963,-0.199789814814821
"109",-34959.9825681801,15159.2710138885,-0.430788425925925
"110",33127.1333282366,31474.7674398152,0.963968981481486
"111",-28334.7643042713,228486.608453703,0.134735648148137
"112",-19735.1011946806,-47399.8217314808,-0.387586111111105
"113",6366.6345581662,83472.9450462954,-0.0950875000000053
"114",-22374.9345602244,13313.8953722222,0.602572407407422
"115",-64750.1552859526,156439.8778125,-0.266868333333335
"116",69083.3342871895,155248.044222686,-0.41760175925927
"117",2458.89451961251,122517.204611111,0.173368518518529
"118",-57321.2958519713,-154360.687388889,0.704977314814812
"119",91401.876636255,-208850.139814815,1.59269907407408
"120",-36133.5144813796,-85563.4210370369,0.986510185185182
"121",65783.8223490199,123999.348013889,0.48431157407407
